date,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Subiendo,ATR_14,BB_PctB,BB_Width,Vol_SMA_10,Vol_SMA_20,VolRel10,VolRel20,Stoch_K,Stoch_D,Body,Mecha_Sup,Mecha_Inf,Position_52w_Pct,RS_vs_SPY,Dist_EMA_20_pct,Dist_SMA_20_pct,Dist_SMA_50_pct,Dist_SMA_200_pct,Dist_BUY_ZONE,High_52W,Low_52W,Ret_1,Ret_5,Ret_20,Swing_High_20,Dist_EMA_20,TP_Dinamico,VWAP,ADX_14,Plus_DI,Minus_DI,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Fib_236,Fib_382,Fib_500,Fib_618,Fib_786,Pivot_PP,Pivot_R1,Pivot_R2,Pivot_R3,Pivot_S1,Pivot_S2,Pivot_S3,Vol_Dryup,Vol_Climax,BB_Squeeze,BB_Breakout,MACD_Cross_Up,Golden_Cross,SMA20_Cross_Up,Oversold,Overbought,Trend_Up,Breakout_Vol,TP_Agotamiento,Vol_Climax_Up,MACD_Divergence,Trend_Weakness,Overextended,Exhaustion_Gap,Stoch_Extreme,Stop_Loss_Triggered,BUY_ZONE,ACC,REB,ROIC,ROE,Net_Margin,Gross_Margin,Operating_Margin,EBITDA_Margin,Current_PE,Current_PB,Current_EV_EBITDA,Current_EV_Sales,Current_FCF_Yield,Market_Cap,PE_5y_mean,PE_5y_max,PE_5y_min,PE_5y_pct,PE_5y_signal,Currency,FX_Rate,Asset_Type,Risk_Score
2021-12-09,11.25,12.24,10.01,10.33,90160804,,,,10.33,10.33,10.33,10.33,,0.0,0.0,0.0,0,,0.5,0.05,,,,,,,0.9199999999999999,0.9900000000000002,0.3200000000000003,,0,0.0,,,,0,,,,,,,0.0,,0,25,20,20,,,,,10.33,,,,,,10.86,11.709999999999999,13.09,13.94,9.479999999999999,8.629999999999999,7.249999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-12-10,11.45,11.85,9.8,11.85,50077329,,,,10.474761904761904,10.389607843137256,10.36009900990099,10.345124378109453,,0.12125356125356213,0.024250712250712427,0.0970028490028497,1,,0.5,0.05,,,,,,,0.40000000000000036,0.0,1.6499999999999986,,0,11.605384769941738,,,,0,,,14.71442400774443,,,,13.129063054052834,,0,25,20,20,,,,,11.85,,,,,,11.166666666666666,12.533333333333331,13.216666666666665,14.58333333333333,10.483333333333333,9.116666666666667,8.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
2021-12-13,11.1,11.29,10.31,10.81,19658350,,,,10.506689342403627,10.40609381007305,10.369007940398,10.349750006187968,,0.1319080202271099,0.045782173845991925,0.08612584638111798,0,,0.5,0.05,,,,,,,0.28999999999999915,0.1899999999999995,0.5,,0,2.805834020317979,,,,0,,,-8.776371308016873,,,,2.8868337847608316,,0,25,20,20,,,,,10.81,,,,,,10.803333333333335,11.296666666666669,11.783333333333333,12.276666666666667,10.31666666666667,9.823333333333336,9.336666666666671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-12-14,10.55,10.58,9.27,9.92,22728085,,,,10.450814166936615,10.387031307717244,10.360116694053485,10.345473886723411,,0.06775515452003589,0.05017676998080072,0.017578384539235166,0,,0.5,0.05,,,,,,,0.6300000000000008,0.02999999999999936,0.6500000000000004,,0,-5.350949263473943,,,,0,,,-8.233117483811291,,,,-5.0791656846789905,,0,25,20,20,,,,,9.92,,,,,,9.923333333333334,10.576666666666668,11.233333333333334,11.886666666666668,9.266666666666667,8.613333333333333,7.956666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-12-15,9.63,10.29,9.42,10.01,12663878,,,,10.408831865323604,10.372245766238137,10.353183690210841,10.342135838099297,,0.023900286464407117,0.044921473277522,-0.021021186813114885,0,,0.5,0.05,,,,,,,0.379999999999999,0.27999999999999936,0.21000000000000085,,0,-3.9843343189171256,,,,0,,,0.9072580645161255,,,,-3.8316678613311894,,0,25,20,20,,,,,10.01,,,,,,9.906666666666666,10.393333333333333,10.776666666666666,11.263333333333332,9.523333333333333,9.036666666666667,8.653333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-12-16,10.45,10.49,9.56,10.0,13981345,,,,10.369895497197547,10.357647893052329,10.346189953771022,10.338731501401792,,-0.011529029379341083,0.033631372746149385,-0.04516040212549047,0,,0.5,0.05,,,,,,,0.4499999999999993,0.040000000000000924,0.4399999999999995,,0,-3.6989549719754677,,,,0,,,-0.09990009990009652,-3.1945788964181987,,,-3.5670127755627874,,0,25,20,20,,,,,10.0,,,,,,10.016666666666667,10.473333333333334,10.946666666666667,11.403333333333334,9.543333333333335,9.086666666666668,8.613333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-12-17,9.925,10.17,9.14,9.8,21560828,,,,10.315619735559686,10.335779348226747,10.335374311122091,10.333370988950033,,-0.05511007137225654,0.015883083922468202,-0.07099315529472475,0,,0.5,0.05,,,,,,,0.125,0.24499999999999922,0.6600000000000001,,0,-5.261425873058013,,,,0,,,-1.9999999999999907,-17.29957805907172,,,-4.998436824714048,,0,25,20,20,,,,,9.8,,,,,,9.703333333333335,10.26666666666667,10.733333333333334,11.296666666666669,9.23666666666667,8.673333333333336,8.20666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-12-20,9.2,9.35,8.75,8.94,15772460,,,,10.184608332173049,10.281042903198248,10.307743136644426,10.319506601000281,,-0.15723071599494354,-0.01873967606101415,-0.1384910399339294,0,,0.5,0.05,,,,,,,0.2599999999999998,0.15000000000000036,0.1899999999999995,,0,-13.921793424754469,,,,0,,,-8.775510204081648,-17.298797409805744,,,-12.220483022811466,,0,25,20,20,,,,,8.94,,,,,,9.013333333333334,9.276666666666667,9.613333333333333,9.876666666666667,8.676666666666668,8.413333333333334,8.076666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,26.5
2021-12-21,9.02,9.24,8.84,9.23,8402568,,,,10.093693252918472,10.239825534445375,10.286401688394042,10.308665739298785,,-0.2123140618845678,-0.05745455322572489,-0.1548595086588429,0,,0.5,0.05,,,,,,,0.21000000000000085,0.009999999999999787,0.17999999999999972,,0,-9.357456694674664,,,,0,,,3.2438478747203625,-6.955645161290313,,,-8.55676144773614,,0,25,20,20,10.495000000000001,,,,9.23,,,,,,9.103333333333333,9.366666666666667,9.503333333333334,9.766666666666667,8.966666666666667,8.703333333333333,8.566666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
2021-12-22,9.12,9.18,8.99,9.12,7094954,,,,10.000960562164332,10.19591080760438,10.263304625257526,10.296838219504767,,-0.2618259247680701,-0.09832882753419395,-0.16349709723387615,0,,0.5,0.05,26210060.1,,0.2706958310255839,,,,0.0,0.0600000000000005,0.129999999999999,,0,-9.659655286889615,,,,0,,,-1.1917659804983827,-8.891108891108901,,,-8.808759485535678,,0,25,20,20,10.3,,,,9.12,,,,,,9.096666666666666,9.203333333333331,9.286666666666665,9.39333333333333,9.013333333333332,8.906666666666666,8.823333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,USD,1.0,stock,25.0
